[2025-10-16 17:46:28] ✅ All tables dropped and created successfully.
[2025-10-16 17:47:20] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2019\1.json
[2025-10-16 17:47:20] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2019\2.json
[2025-10-16 17:47:21] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2019\3.json
[2025-10-16 17:47:21] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2019\4.json
[2025-10-16 17:47:22] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2020\1.json
[2025-10-16 17:47:22] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2020\2.json
[2025-10-16 17:47:23] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2020\3.json
[2025-10-16 17:47:23] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2020\4.json
[2025-10-16 17:47:23] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2021\1.json
[2025-10-16 17:47:24] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2021\2.json
[2025-10-16 17:47:24] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2021\3.json
[2025-10-16 17:47:24] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2021\4.json
[2025-10-16 17:47:25] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2022\1.json
[2025-10-16 17:47:25] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\bihar\2022\2.json
